FEATURE1,FEATURE2,FEATURE3,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15
F0,F1,F2,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N
F0,F1,F3,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
F0,F1,F4,Y,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N
F0,F2,F3,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,N,Y,Y,N
F0,F1,F5,Y,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,Y,N,N
F0,F2,F4,Y,Y,N,Y,N,N,Y,N,N,N,Y,N,Y,N,Y,N
F1,F2,F3,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
F6,F0,F1,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,Y,N,N
F0,F2,F5,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y
F0,F3,F4,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N
F1,F2,F4,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N
F6,F0,F2,Y,N,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N
F7,F0,F1,Y,Y,N,Y,N,N,Y,Y,N,Y,N,N,N,Y,N,N
F0,F3,F5,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,N,Y,Y,N
F1,F2,F5,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N
F1,F3,F4,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
F6,F0,F3,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N
F6,F1,F2,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
F7,F0,F2,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y
F8,F0,F1,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N
F0,F4,F5,Y,Y,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,Y,N
F1,F3,F5,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
