FEATURE1,FEATURE2,S0,S1,S2,S3,S4,S5,S6,S7,S8
F0,!F8,N,N,N,N,Y,N,N,N,Y
F2,!F6,N,N,Y,N,Y,N,N,Y,N
!F3,F5,Y,N,N,Y,N,Y,Y,N,Y
!F1,!F3,Y,N,N,Y,N,N,Y,N,Y
F2,!F8,N,N,N,N,Y,N,N,Y,N
F2,!F9,N,N,N,N,N,N,N,Y,N
F5,!F6,Y,N,Y,N,Y,Y,Y,Y,Y
!F1,!F6,Y,N,N,N,Y,N,Y,Y,Y
F5,!F8,Y,N,N,Y,Y,N,Y,Y,Y
F5,!F9,Y,N,N,Y,N,N,Y,Y,N
!F1,!F8,Y,N,N,Y,Y,N,Y,Y,Y
!F3,!F6,Y,N,N,N,N,Y,Y,N,Y
!F1,!F9,Y,N,N,Y,N,N,Y,Y,N
!F3,!F8,Y,N,N,Y,N,N,Y,N,Y
!F3,!F9,Y,N,N,Y,N,N,Y,N,N
!F6,!F8,Y,N,N,N,Y,N,Y,Y,Y
!F6,!F9,Y,N,N,N,N,N,Y,Y,N
!F8,!F9,Y,N,N,Y,N,N,Y,Y,N
F13,F0,N,Y,Y,N,N,N,N,N,N
F13,F2,N,Y,Y,N,N,N,N,N,N
F13,F5,N,Y,Y,N,N,Y,N,N,N
!F11,F0,N,N,N,N,Y,N,N,N,Y
!F12,F2,N,N,N,N,N,N,N,Y,N
!F11,F2,N,N,N,N,Y,N,N,Y,N
!F11,F5,Y,N,N,Y,Y,N,Y,Y,Y
!F14,F2,N,N,N,N,N,N,N,Y,N
F13,!F3,N,N,N,N,N,Y,N,N,N
!F11,!F1,Y,N,N,Y,Y,N,Y,Y,Y
!F12,F5,Y,N,N,Y,N,N,Y,Y,N
!F11,!F3,Y,N,N,Y,N,N,Y,N,Y
!F12,!F1,Y,N,N,Y,N,N,Y,Y,N
F13,!F6,N,N,Y,N,N,Y,N,N,N
!F14,F5,Y,N,N,Y,N,Y,N,Y,N
!F12,!F3,Y,N,N,Y,N,N,Y,N,N
!F14,!F1,Y,N,N,Y,N,N,N,Y,N
!F12,!F6,Y,N,N,N,N,N,Y,Y,N
!F11,!F6,Y,N,N,N,Y,N,Y,Y,Y
!F14,!F3,Y,N,N,Y,N,Y,N,N,N
!F12,!F8,Y,N,N,Y,N,N,Y,Y,N
!F11,!F9,Y,N,N,Y,N,N,Y,Y,N
!F14,!F6,Y,N,N,N,N,Y,N,Y,N
!F11,!F8,Y,N,N,Y,Y,N,Y,Y,Y
!F14,!F8,Y,N,N,Y,N,N,N,Y,N
!F12,!F9,Y,N,N,Y,N,N,Y,Y,N
!F14,!F9,Y,N,N,Y,N,N,N,Y,N
!F12,!F11,Y,N,N,Y,N,N,Y,Y,N
!F14,F13,N,N,N,N,N,Y,N,N,N
!F12,!F14,Y,N,N,Y,N,N,N,Y,N
!F11,!F14,Y,N,N,Y,N,N,N,Y,N
F0,F2,N,Y,Y,N,Y,N,N,N,N
F0,F5,N,Y,Y,N,Y,N,N,N,Y
F0,!F1,N,N,N,N,Y,N,N,N,Y
F2,F5,N,Y,Y,N,Y,N,N,Y,N
F0,!F3,N,N,N,N,N,N,N,N,Y
!F1,F2,N,N,N,N,Y,N,N,Y,N
F0,!F6,N,N,Y,N,Y,N,N,N,Y
!F1,F5,Y,N,N,Y,Y,N,Y,Y,Y
F5,F9,N,Y,Y,N,Y,Y,N,N,Y
F6,F8,N,Y,N,N,N,N,N,N,N
F6,F9,N,Y,N,N,N,N,N,N,N
F7,F8,N,Y,Y,N,N,Y,N,N,N
F7,F9,N,Y,Y,N,Y,Y,N,N,Y
F8,F9,N,Y,Y,N,N,Y,N,N,N
F10,F0,N,Y,Y,N,Y,N,N,N,Y
F10,F2,N,Y,Y,N,Y,N,N,Y,N
F12,F0,N,Y,Y,N,Y,N,N,N,Y
F11,F1,N,Y,Y,N,N,Y,N,N,N
F10,F1,N,Y,Y,N,N,Y,N,N,N
F11,F0,N,Y,Y,N,N,N,N,N,N
F10,F4,Y,Y,Y,Y,Y,Y,Y,Y,Y
F12,F2,N,Y,Y,N,Y,N,N,N,N
F11,F3,N,Y,Y,N,N,N,N,N,N
F14,F0,N,Y,Y,N,Y,N,N,N,Y
F13,F1,N,Y,Y,N,N,Y,N,N,N
F10,F3,N,Y,Y,N,Y,N,N,Y,N
F12,F1,N,Y,Y,N,N,Y,N,N,N
F11,F2,N,Y,Y,N,N,N,N,N,N
F10,F6,N,Y,N,Y,N,N,N,N,N
F12,F4,N,Y,Y,N,Y,Y,N,N,Y
F11,F5,N,Y,Y,N,N,Y,N,N,N
F14,F2,N,Y,Y,N,Y,N,N,N,N
F13,F3,N,Y,Y,N,N,N,N,N,N
F10,F5,Y,Y,Y,Y,Y,Y,Y,Y,Y
F12,F3,N,Y,Y,N,Y,N,N,N,N
F11,F4,N,Y,Y,N,N,Y,N,N,N
F14,F1,N,Y,Y,N,N,N,N,N,N
F14,F4,N,Y,Y,N,Y,N,Y,N,Y
F10,F8,N,Y,Y,N,N,Y,N,N,N
F12,F6,N,Y,N,N,N,N,N,N,N
F11,F7,N,Y,Y,N,N,Y,N,N,N
F10,F7,Y,Y,Y,Y,Y,Y,Y,Y,Y
F12,F5,N,Y,Y,N,Y,Y,N,N,Y
F11,F6,N,Y,N,N,N,N,N,N,N
F14,F3,N,Y,Y,N,Y,N,N,N,N
F13,F4,N,Y,Y,N,N,Y,N,N,N
F12,F8,N,Y,Y,N,N,Y,N,N,N
F13,F7,N,Y,Y,N,N,Y,N,N,N
F11,F9,N,Y,Y,N,N,Y,N,N,N
F14,F6,N,Y,N,N,N,N,N,N,N
F10,F9,N,Y,Y,N,Y,Y,N,N,Y
F13,F6,N,Y,N,N,N,N,N,N,N
F12,F7,N,Y,Y,N,Y,Y,N,N,Y
F11,F8,N,Y,Y,N,N,Y,N,N,N
F14,F5,N,Y,Y,N,Y,N,Y,N,Y
F14,F8,N,Y,Y,N,N,N,N,N,N
F13,F9,N,Y,Y,N,N,Y,N,N,N
F12,F9,N,Y,Y,N,Y,Y,N,N,Y
F13,F8,N,Y,Y,N,N,Y,N,N,N
F14,F7,N,Y,Y,N,Y,N,Y,N,Y
F14,F9,N,Y,Y,N,Y,N,N,N,Y
F10,F12,N,Y,Y,N,Y,Y,N,N,Y
F10,F13,N,Y,Y,N,N,Y,N,N,N
F12,F11,N,Y,Y,N,N,Y,N,N,N
F10,F11,N,Y,Y,N,N,Y,N,N,N
F12,F14,N,Y,Y,N,Y,N,N,N,Y
F14,F13,N,Y,Y,N,N,N,N,N,N
F10,F14,N,Y,Y,N,Y,N,Y,N,Y
F11,F13,N,Y,Y,N,N,Y,N,N,N
F12,F13,N,Y,Y,N,N,Y,N,N,N
F11,F14,N,Y,Y,N,N,N,N,N,N
F0,F1,N,Y,Y,N,N,N,N,N,N
F0,F3,N,Y,Y,N,Y,N,N,N,N
F1,F2,N,Y,Y,N,N,N,N,N,N
F0,F4,N,Y,Y,N,Y,N,N,N,Y
F1,F3,N,Y,Y,N,N,N,N,N,N
F1,F4,N,Y,Y,N,N,Y,N,N,N
F2,F3,N,Y,Y,N,Y,N,N,Y,N
F0,F6,N,Y,N,N,N,N,N,N,N
F1,F5,N,Y,Y,N,N,Y,N,N,N
F2,F4,N,Y,Y,N,Y,N,N,Y,N
F0,F7,N,Y,Y,N,Y,N,N,N,Y
F1,F6,N,Y,N,N,N,N,N,N,N
F3,F4,N,Y,Y,N,Y,N,N,Y,N
F0,F8,N,Y,Y,N,N,N,N,N,N
F1,F7,N,Y,Y,N,N,Y,N,N,N
F2,F6,N,Y,N,N,N,N,N,N,N
F3,F5,N,Y,Y,N,Y,N,N,Y,N
F0,F9,N,Y,Y,N,Y,N,N,N,Y
F1,F8,N,Y,Y,N,N,Y,N,N,N
F2,F7,N,Y,Y,N,Y,N,N,Y,N
F3,F6,N,Y,N,N,N,N,N,N,N
F4,F5,Y,Y,Y,Y,Y,Y,Y,Y,Y
F1,F9,N,Y,Y,N,N,Y,N,N,N
F2,F8,N,Y,Y,N,N,N,N,N,N
F3,F7,N,Y,Y,N,Y,N,N,Y,N
F4,F6,N,Y,N,Y,N,N,N,N,N
F2,F9,N,Y,Y,N,Y,N,N,N,N
F3,F8,N,Y,Y,N,N,N,N,N,N
F4,F7,Y,Y,Y,Y,Y,Y,Y,Y,Y
F5,F6,N,Y,N,Y,N,N,N,N,N
F3,F9,N,Y,Y,N,Y,N,N,N,N
F4,F8,N,Y,Y,N,N,Y,N,N,N
F5,F7,Y,Y,Y,Y,Y,Y,Y,Y,Y
F4,F9,N,Y,Y,N,Y,Y,N,N,Y
F5,F8,N,Y,Y,N,N,Y,N,N,N
F6,F7,N,Y,N,Y,N,N,N,N,N
!F1,F7,Y,N,N,Y,Y,N,Y,Y,Y
!F1,F9,N,N,N,N,Y,N,N,N,Y
F10,!F1,Y,N,N,Y,Y,N,Y,Y,Y
F12,!F1,N,N,N,N,Y,N,N,N,Y
F14,!F1,N,N,N,N,Y,N,Y,N,Y
!F1,F3,N,N,N,N,Y,N,N,Y,N
!F1,F4,Y,N,N,Y,Y,N,Y,Y,Y
!F1,F6,N,N,N,Y,N,N,N,N,N
!F14,F1,N,N,N,N,N,Y,N,N,N
F1,!F3,N,N,N,N,N,Y,N,N,N
F1,!F6,N,N,Y,N,N,Y,N,N,N
!F3,F7,Y,N,N,Y,N,Y,Y,N,Y
F4,!F6,Y,N,Y,N,Y,Y,Y,Y,Y
!F3,F9,N,N,N,N,N,Y,N,N,Y
F4,!F8,Y,N,N,Y,Y,N,Y,Y,Y
!F6,F7,Y,N,Y,N,Y,Y,Y,Y,Y
!F6,F9,N,N,Y,N,Y,Y,N,N,Y
F7,!F8,Y,N,N,Y,Y,N,Y,Y,Y
!F8,F9,N,N,N,N,Y,N,N,N,Y
F10,!F12,Y,N,N,Y,N,N,Y,Y,N
F11,!F3,N,N,N,N,N,Y,N,N,N
!F12,F14,N,N,N,N,N,N,Y,N,N
F10,!F3,Y,N,N,Y,N,Y,Y,N,Y
F10,!F6,Y,N,Y,N,Y,Y,Y,Y,Y
!F12,F4,Y,N,N,Y,N,N,Y,Y,N
F10,!F8,Y,N,N,Y,Y,N,Y,Y,Y
F11,!F6,N,N,Y,N,N,Y,N,N,N
F14,!F3,N,N,N,N,N,N,Y,N,Y
F14,!F6,N,N,Y,N,Y,N,Y,N,Y
!F12,F7,Y,N,N,Y,N,N,Y,Y,N
F14,!F8,N,N,N,N,Y,N,Y,N,Y
!F3,F4,Y,N,N,Y,N,Y,Y,N,Y
F3,!F9,N,N,N,N,N,N,N,Y,N
F4,!F9,Y,N,N,Y,N,N,Y,Y,N
F6,!F9,N,N,N,Y,N,N,N,N,N
F7,!F9,Y,N,N,Y,N,N,Y,Y,N
F12,!F11,N,N,N,N,Y,N,N,N,Y
!F11,F3,N,N,N,N,Y,N,N,Y,N
F12,!F14,N,N,N,N,N,Y,N,N,N
!F11,F4,Y,N,N,Y,Y,N,Y,Y,Y
!F11,F7,Y,N,N,Y,Y,N,Y,Y,Y
!F14,F4,Y,N,N,Y,N,Y,N,Y,N
!F11,F6,N,N,N,Y,N,N,N,N,N
!F14,F3,N,N,N,N,N,N,N,Y,N
!F14,F6,N,N,N,Y,N,N,N,N,N
!F14,F8,N,N,N,N,N,Y,N,N,N
!F14,F7,Y,N,N,Y,N,Y,N,Y,N
!F14,F9,N,N,N,N,N,Y,N,N,N
!F11,F9,N,N,N,N,Y,N,N,N,Y
F14,!F9,N,N,N,N,N,N,Y,N,N
F10,!F14,Y,N,N,Y,N,Y,N,Y,N
F10,!F11,Y,N,N,Y,Y,N,Y,Y,Y
