FEATURE1,FEATURE2,FEATURE3
F6,F7,F10
F6,F9,F3
F11,F3,F5
F7,F11,F3
F6,!F11,F2
!F9,!F3,F5
!F11,F1,!F5
F8,F10,F5
!F9,!F0,F1
F7,F8,F1
F7,F10,F4
!F6,F0,F5
F6,!F11,F1
F10,F2,F4
F10,F11,F1
F7,F11,!F5
!F6,!F9,F10
!F0,F1,F2
!F6,F7,F3
!F9,F4,F5
F10,!F11,F2
!F6,!F0,!F3
F11,F1,F5
!F6,!F0,F3
F8,F10,!F5
!F6,F3,F5
F9,!F0,F3
!F0,F2,!F5
F8,F2,F4
!F6,!F0,!F5
F6,F8,F1
!F11,F3,F5
F11,F2,F3
F6,F8,F5
F6,F1,F2
F8,F11,F0
F8,!F9,F10
F6,!F9,F11
F8,!F9,F1
!F11,F2,!F5
F6,F10,F5
!F6,F7,F4
!F6,F9,F3
F0,F2,F4
!F6,F11,F3
!F11,F1,F3
F7,F1,F5
F6,F1,F5
F3,F4,F5
!F6,F0,F2
