,FileName,FeatureModel,NoF,NoC
100,model_20161025_210874268.xml,Autosoft,10,0
84,model_20150703_1928436983.xml,LXEP,10,0
52,model_20141202_104116345.xml,celular,10,2
2,model_20091129_1734444143.xml,IntelligentTutoringSystem,12,1
25,model_20140411_1742095150.xml,Sylvain Example,12,12
26,model_20141103_771283347.xml,Telefono,10,3
68,model_20150611_1748318240.xml,Scenario Application,14,0
26,model_20121018_1970318852.xml,MobileMedia_VitorSales,16,0
41,model_20130529_167247656.xml,MobileMedia-Bruno-ExpUFMG,16,1
56,model_20130916_1983257725.xml,MobileMedia_DiegoTavares,16,2
12,model_20121219_629525870.xml,Requirements Proces Variability,18,9
10,model_20120531_2078087379.xml,GuideAgent,17,3
40,REAL-FM-2.xml,Weather Station,23,2
7,model_20110330_919429247.xml,Assistencia domiciliar,25,2
26,model_20141021_386995832.xml,E-Learning,24,2
19,model_20131112_1630582425.xml,Portafolios1Gomez,28,1
39,model_20150228_41303449.xml,Inmobiliaria,33,3
8,model_20110525_564104612.xml,body comfort system,27,6
56,model_20160329_1144142418.xml,Urna Bruno Luan,54,0
69,model_20161207_285955518.xml,Thermonator,54,0
29,model_20150307_1251635490.xml,Inmobiliaria,35,1
25,model_20140824_1698583194.xml,Linea Producto MarketPlace,66,2
5,model_20110428_553405269.xml,CD OD Semantic Variability,37,4
44,model_20150304_617127008.xml,Berkley DB,56,12
