"","FileName","FeatureModel","NoF","NoC","combination"
"85","model_20160106_443157632.xml","Smart Queue",13,0,"i1.i1"
"79","model_20150330_63301402.xml","poker spl",11,0,"i1.i1"
"70","model_20161109_258969269.xml","SPL_e_commerce",10,2,"i1.i2"
"6","model_20120110_1094246588.xml","Example Mobile Phone",10,2,"i1.i2"
"8","model_20130122_1064508817.xml","Pruebas",12,7,"i1.i3"
"17","model_20140326_801743865.xml","Cell-Phone-SPL-2014-Part2",13,9,"i1.i3"
"93","stack_fm.xml","Stack PL",17,0,"i2.i1"
"81","model_20160603_398155586.xml","markke core asset testing",15,0,"i2.i1"
"76","model_20150715_75174593.xml","Master",17,1,"i2.i2"
"41","model_20130529_167247656.xml","MobileMedia-Bruno-ExpUFMG",16,1,"i2.i2"
"18","model_20140427_1594857347.xml","Siga",19,5,"i2.i3"
"11","model_20120823_304633016.xml","Disciplina",16,7,"i2.i3"
"65","model_20140914_775838300.xml","B2B Website",24,0,"i3.i1"
"3","model_20091210_993249741.xml","ATM Software",29,0,"i3.i1"
"16","model_20120915_487659597.xml","MKT",20,1,"i3.i2"
"32","model_20150720_1580995178.xml","Smart Home",22,2,"i3.i2"
"50","model_20150414_2125272166.xml","Bike",21,6,"i3.i3"
"55","model_20150713_1448325014.xml","IVI Development VM",32,4,"i3.i3"
"63","model_20161101_1287284082.xml","IosAccessibiliteFrench",50,0,"i4.i1"
"82","model_20111220_1450733948.xml","DS Sample",41,0,"i4.i1"
"33","model_20201221_942926350.xml","TestPlant",65,2,"i4.i2"
"161","model_20131203_151571988.xml","MayaVariabilityModel",54,1,"i4.i2"
"45","model_20150305_837831991.xml","Inmobiliaria",39,5,"i4.i3"
"80","model_20161003_680973994.xml","Tienda Virtual",53,7,"i4.i3"
