"","FileName","FeatureModel","NoF","NoC","combination"
"6","model_20130117_2075912065.xml","Analisis",13,5,"i1.i3"
"19","model_20140408_1553357169.xml","Xor Example",11,8,"i1.i3"
"9","model_20130122_92211527.xml","Implementacion",11,7,"i1.i3"
"23","model_20140411_114609198.xml","FM with optional XOR",12,7,"i1.i3"
"8","model_20130122_1064508817.xml","Pruebas",12,7,"i1.i3"
"13","model_20130917_737900063.xml","Video On Demand FM",13,4,"i1.i3"
"29","model_20201117_549197766.xml","Hardware Rack",13,7,"i1.i3"
"2","model_20100324_1996898492.xml","VOD feature model",11,3,"i1.i3"
"18","model_20140401_1527258088.xml","Cell-Phone-SPL-2014-Mined",13,9,"i1.i3"
"3","model_20100927_1382418986.xml","Phone sple",10,3,"i1.i3"
"20","model_20160304_1567363129.xml","Nexus DSPL",19,7,"i2.i3"
"31","model_20101110_1749898936.xml","FIRE-ALARM",19,4,"i2.i3"
"1","model_20100624_2076952989.xml","Small Graph Product Line",17,3,"i2.i3"
"231","model_20160716_1943328700.xml","IRIS",18,3,"i2.i3"
"16","model_20131109_2060894287.xml","matrices",14,3,"i2.i3"
"91","model_20120328_288933955.xml","SMS a Cobrar / Resposta paga",17,3,"i2.i3"
"131","model_20130226_1908057354.xml","Requisitos II",16,4,"i2.i3"
"15","model_20130418_1158438101.xml","WebKit overview",19,6,"i2.i3"
"25","model_20160906_881197553.xml","Telefonos Moviles",18,4,"i2.i3"
"181","model_20140427_1594857347.xml","Siga",19,5,"i2.i3"
"81","model_20110919_127780100.xml","Software Stack",37,6,"i4.i3"
"36","model_20140824_2115796112.xml","Swap MArketplace",43,10,"i4.i3"
"37","model_20141017_1234330746.xml","Control biometrico",38,11,"i4.i3"
"21","model_20131113_2067550021.xml","FM ERP-SPL",42,4,"i4.i3"
"77","model_20160919_422339066.xml","ExtendedFM-IMPEX",50,5,"i4.i3"
"71","model_20160503_1174916821.xml","Smart UMKM",42,3,"i4.i3"
"63","model_20160229_1590940306.xml","Venta de computadores",50,14,"i4.i3"
"44","model_20150304_617127008.xml","Berkley DB",56,12,"i4.i3"
"201","model_20131112_1315617761.xml","Portafolio2Fierro",58,6,"i4.i3"
"28","model_20140422_2137156564.xml","VOLKSWAGEN UP FM",35,3,"i4.i3"
