FileName,FeatureModel,VP,NoF,NLeaf,NM,NO,NA,NVF,NGF,SHoF,MHoF,SCDF,MCDF,NoFC,NoC,DoT,ADoT,RoV,BF,CoC,FoC
aircraft_fm.xml,Aircraft PL,4.0,13.0,9.0,2.0,1.0,1.0,2.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,0.3333333333333333,3.0,0.9230769230769231,0.07692307692307693
arcade_game_pl_fm.xml,Arcade Game PL Feature Model,14.0,61.0,47.0,18.0,5.0,0.0,5.0,14.0,0.0,37.0,0.0,33.0,34.0,34.0,8.0,3.5106382978723403,0.25,4.0,1.4754098360655739,0.08196721311475409
car_fm.xml,Car PL,8.0,14.0,9.0,2.0,6.0,2.0,8.0,5.0,5.0,0.0,1.0,0.0,4.0,2.0,4.0,2.111111111111111,0.38461538461538464,2.6,1.0714285714285714,0.42857142857142855
cfdp_library_fm.xml,CFDP Library,9.0,13.0,8.0,0.0,8.0,0.0,8.0,5.0,0.0,4.0,0.0,3.0,8.0,5.0,3.0,2.0,0.4166666666666667,2.4,1.3076923076923077,0.6153846153846154
connector_fm.xml,Connector PL,8.0,20.0,10.0,4.0,1.0,6.0,7.0,10.0,12.0,2.0,0.0,0.0,0.0,0.0,9.0,3.9,0.5263157894736842,1.9,0.95,0.05
DELL-LAPTOP-NOTEBOOK-FM.xml,DELL Laptop/Notebook Computers,9.0,47.0,38.0,7.0,1.0,8.0,9.0,9.0,38.0,0.0,36.0,0.0,36.0,105.0,3.0,2.0,0.1956521739130435,5.111111111111111,3.2127659574468086,0.02127659574468085
fame_dbms_fm.xml,FAME-DBMS,9.0,21.0,13.0,6.0,4.0,5.0,9.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,2.769230769230769,0.42105263157894735,2.375,0.9047619047619048,0.19047619047619047
model_20090801_1908323193.xml,CFDP Library,9.0,13.0,8.0,0.0,8.0,0.0,8.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,0.4166666666666667,2.4,0.9230769230769231,0.6153846153846154
model_20091009_1552375070.xml,Inventory,12.0,37.0,28.0,9.0,6.0,2.0,8.0,9.0,5.0,16.0,0.0,5.0,10.0,6.0,4.0,2.75,0.25,4.0,1.135135135135135,0.16216216216216217
model_20091015_449909368.xml,SAL,4.0,10.0,6.0,3.0,2.0,1.0,3.0,4.0,2.0,2.0,0.0,1.0,2.0,1.0,3.0,2.0,0.4444444444444444,2.25,1.0,0.2
model_20091109_376438407.xml,Insurance Policy,9.0,22.0,15.0,7.0,6.0,1.0,7.0,7.0,2.0,6.0,0.0,3.0,5.0,2.0,5.0,2.1333333333333333,0.3333333333333333,3.0,1.0454545454545454,0.2727272727272727
model_20091129_1734444143.xml,IntelligentTutoringSystem,6.0,12.0,8.0,3.0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,2.0,1.0,3.0,1.875,0.36363636363636365,2.75,1.0,0.3333333333333333
model_20091205_755658379.xml,Coche ecologico,28.0,94.0,64.0,39.0,12.0,15.0,27.0,30.0,40.0,2.0,2.0,0.0,4.0,2.0,8.0,3.40625,0.3225806451612903,3.1,1.0106382978723405,0.1276595744680851
